0.000000	,0.000000	,0.000000	,0.000000
0.000000	,0.000000	,0.000000	,0.000000
0.000000	,0.000000	,0.000000	,0.000000
0.000000	,0.000000	,0.000000	,0.000000
0.500000	,-0.000230	,0.000152	,0.067485
0.580000	,-0.000313	,0.000186	,0.061497
0.665000	,-0.000313	,0.000186	,0.061496
0.785000	,-0.000315	,0.000186	,0.061496
0.880000	,0.011303	,-0.007510	,0.227696
0.960000	,0.004008	,0.000694	,0.311905
1.092000	,-0.005220	,0.000523	,0.321858
1.200000	,-0.014559	,-0.013632	,0.263738
1.265000	,-0.023814	,-0.027241	,0.215707
1.356000	,-0.030421	,-0.047082	,0.120228
1.480000	,-0.034435	,-0.073511	,0.143255
1.564000	,-0.036380	,-0.087959	,0.144066
1.652000	,-0.035793	,-0.093023	,0.131185
1.780000	,-0.032368	,-0.085227	,0.140951
1.868000	,-0.030751	,-0.083489	,0.139570
1.956000	,-0.029630	,-0.085537	,0.139230
2.080000	,-0.025174	,-0.086101	,0.139948
2.172000	,-0.022189	,-0.087684	,0.139841
2.263000	,-0.017393	,-0.089633	,0.139956
2.380000	,-0.010649	,-0.092531	,0.139824
2.468000	,-0.005698	,-0.094571	,0.139688
2.560000	,0.000714	,-0.097166	,0.139450
2.683000	,0.008216	,-0.100555	,0.139123
2.771000	,0.012823	,-0.103118	,0.138674
2.859000	,0.017010	,-0.105961	,0.138320
2.980000	,0.023903	,-0.110032	,0.138166
3.071000	,0.027721	,-0.111842	,0.138297
3.159000	,0.031505	,-0.113488	,0.138458
3.280000	,0.038203	,-0.116315	,0.138555
3.371000	,0.042192	,-0.117884	,0.138538
3.463000	,0.047349	,-0.119916	,0.138462
3.584000	,0.053781	,-0.122402	,0.138315
3.679000	,0.058160	,-0.124094	,0.138195
3.799000	,0.065840	,-0.127038	,0.137981
3.886000	,0.070484	,-0.128802	,0.137958
3.978000	,0.080961	,-0.132755	,0.142160
4.100000	,0.097309	,-0.139043	,0.134298
4.186000	,0.108847	,-0.143132	,0.140536
4.274000	,0.123416	,-0.148401	,0.139664
4.366000	,0.142035	,-0.155242	,0.122894
4.485000	,0.163526	,-0.162956	,0.117337
4.577000	,0.179592	,-0.168757	,0.111633
4.700000	,0.213513	,-0.181169	,0.115789
4.789000	,0.235525	,-0.189276	,0.108155
4.877000	,0.258625	,-0.198124	,0.104279
5.000000	,0.302494	,-0.212081	,0.118806
5.085000	,0.334688	,-0.223870	,0.130418
5.173000	,0.368841	,-0.236631	,0.127123
5.265000	,0.414498	,-0.255761	,0.129447
5.385000	,0.476731	,-0.279834	,0.131753
5.477000	,0.521904	,-0.296724	,0.133238
5.600000	,0.605875	,-0.327935	,0.135364
5.689000	,0.655533	,-0.348474	,0.139108
5.760000	,0.707278	,-0.365588	,0.136371
5.889000	,0.784788	,-0.395056	,0.138851
5.977000	,0.835793	,-0.415266	,0.134495
6.100000	,0.924680	,-0.447392	,0.135989
6.184000	,0.974921	,-0.464888	,0.132704
6.276000	,1.024711	,-0.483808	,0.134711
6.400000	,1.111226	,-0.514973	,0.120985
6.492000	,1.162711	,-0.534112	,0.122987
6.579000	,1.212466	,-0.551696	,0.119126
6.700000	,1.300824	,-0.583726	,0.115978
6.788000	,1.352135	,-0.602495	,0.115128
6.876000	,1.404097	,-0.621084	,0.116971
6.963000	,1.472292	,-0.646018	,0.119075
7.084000	,1.559045	,-0.676982	,0.125036
7.175000	,1.619809	,-0.698657	,0.128750
7.300000	,1.730461	,-0.738987	,0.133402
7.387000	,1.795402	,-0.761746	,0.135413
7.475000	,1.860828	,-0.784618	,0.136449
7.563000	,1.940902	,-0.814610	,0.138327
7.683000	,2.035498	,-0.849484	,0.139098
7.779000	,2.097582	,-0.871809	,0.138763
7.900000	,2.203260	,-0.911022	,0.139288
7.991000	,2.262289	,-0.932190	,0.136386
8.087000	,2.334818	,-0.959498	,0.137056
8.160000	,2.391882	,-0.980428	,0.132683
8.294000	,2.475769	,-1.012612	,0.132053
8.400000	,2.559209	,-1.044978	,0.125493
8.462000	,2.600586	,-1.060197	,0.124663
8.598000	,2.683591	,-1.092218	,0.120102
8.700000	,2.767233	,-1.123711	,0.117371
8.766000	,2.809281	,-1.139380	,0.116056
8.858000	,2.865419	,-1.160591	,0.117682
8.980000	,2.965342	,-1.198518	,0.122369
9.073000	,3.024286	,-1.220804	,0.124660
9.166000	,3.100484	,-1.249808	,0.129375
9.286000	,3.195411	,-1.285814	,0.133616
9.382000	,3.276610	,-1.316670	,0.135243
9.460000	,3.341873	,-1.340694	,0.137111
9.589000	,3.438234	,-1.377312	,0.138792
9.682000	,3.516722	,-1.408398	,0.138631
9.760000	,3.578145	,-1.432384	,0.139138
9.897000	,3.668608	,-1.467137	,0.138066
10.000000	,3.756884	,-1.501358	,0.137251
10.065000	,3.800073	,-1.518559	,0.136125
10.197000	,3.884960	,-1.552122	,0.133790
10.300000	,3.968428	,-1.586729	,0.131303
10.361000	,4.009294	,-1.602222	,0.127778
10.457000	,4.063848	,-1.625539	,0.122311
10.580000	,4.160218	,-1.664529	,0.118019
10.669000	,4.215482	,-1.686670	,0.116075
10.757000	,4.270671	,-1.708848	,0.116387
10.880000	,4.367844	,-1.747892	,0.118125
10.969000	,4.424497	,-1.770765	,0.120152
11.056000	,4.482366	,-1.794343	,0.124448
11.180000	,4.588282	,-1.837446	,0.130114
11.272000	,4.651665	,-1.862602	,0.132500
11.360000	,4.732538	,-1.894450	,0.135087
11.480000	,4.830127	,-1.933333	,0.137322
11.570000	,4.893942	,-1.960124	,0.137781
11.659000	,4.956834	,-1.986207	,0.138794
11.780000	,5.064299	,-2.030153	,0.138846
11.867000	,5.124158	,-2.054969	,0.139083
11.963000	,5.197339	,-2.085107	,0.137726
12.083000	,5.283288	,-2.120280	,0.135194
12.175000	,5.338884	,-2.145471	,0.134900
